,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,new_price,classified_region,bedroom_count
14457,10132301,house,house,335000,forsale,1490,xl,installed,1932.0,good,gas,399.0,3.0,370.0,,True,370.0,True,True,,3.0,,,0,Brabant Wallonia,3
14458,10049312,house,house,198000,forsale,2880,xl,installed,1875.0,good,gas,319.0,2.0,90.0,,,,,,,,,,0,Antwerp,2
14459,10135414,house,house,750000,forsale,1650,xl,installed,1971.0,torenovate,fueloil,362.0,3.0,1955.0,,True,,True,,,2.0,2.0,,0,Vlaams Brabant,3
14460,10134343,house,villa,895000,forsale,8570,xl,installed,2014.0,justrenovated,,,4.0,6522.0,,,,True,,,,,,0,West Vlaanderen,4
14461,10138360,house,house,189900,forsale,6250,xl,hyperequipped,,justrenovated,gas,362.0,2.0,130.0,True,True,50.0,True,,,,,,0,Hainaut,2
14462,10139176,house,house,225000,forsale,7880,xl,semiequipped,,torenovate,gas,382.0,4.0,623.0,,True,,,True,,1.0,,,0,Hainaut,4
14463,9902324,house,house,235000,forsale,4470,xl,hyperequipped,2020.0,justrenovated,gas,,3.0,368.0,,,100.0,,True,,,2.0,1.0,0,Liege,3
14464,10041186,house,house,289000,forsale,6840,xl,semiequipped,2022.0,justrenovated,gas,108.0,3.0,354.0,True,,,True,,,,1.0,1.0,0,Luxembourg,3
14465,10138322,house,house,550000,forsale,1020,xl,semiequipped,1937.0,torenovate,fueloil,,5.0,230.0,True,True,128.0,True,True,,1.0,1.0,,0,Brussels,5
14466,10138527,house,mixedusebuilding,595000,forsale,1850,xl,semiequipped,1965.0,torenovate,fueloil,459.0,4.0,1205.0,,True,400.0,,,,3.0,6.0,,0,Vlaams Brabant,4
14467,10139974,house,villa,599000,forsale,9750,xl,hyperequipped,1961.0,justrenovated,fueloil,328.0,4.0,890.0,True,True,,True,True,,1.0,3.0,,0,Oost Vlaanderen,4
14468,10138896,house,house,615000,forsale,1030,xl,hyperequipped,1910.0,justrenovated,gas,253.0,4.0,85.0,,True,,True,,,,,,0,Brussels,4
14469,10126880,house,house,850000,forsale,1150,xl,hyperequipped,1954.0,good,gas,512.0,3.0,350.0,True,True,250.0,True,,,1.0,2.0,,0,Brussels,3
14478,10139783,house,apartmentblock,860000,forsale,1400,xl,semiequipped,1800.0,good,,167.0,8.0,440.0,,True,,True,,,4.0,4.0,,0,Brabant Wallonia,Not_Specified
14480,10146801,house,house,499000,forsale,9030,xl,installed,,good,gas,95.0,3.0,142.0,,,,,,,,,,0,Oost Vlaanderen,3
14481,10146414,house,villa,1595000,forsale,9090,xl,semiequipped,1970.0,justrenovated,,224.0,4.0,4015.0,,True,,,,True,1.0,4.0,,0,Oost Vlaanderen,4
14482,10149219,house,house,185000,forsale,9300,xl,semiequipped,1940.0,torenovate,gas,457.0,4.0,145.0,True,True,80.0,True,,,,,,0,Oost Vlaanderen,4
14483,10120364,house,house,239000,forsale,2020,xl,installed,,justrenovated,gas,425.0,2.0,90.0,,True,18.0,,,,,,,0,Antwerp,2
14484,10149537,house,villa,483000,forsale,1840,xl,installed,1977.0,good,gas,295.0,3.0,0.0,,,286.0,True,,,2.0,2.0,,0,Vlaams Brabant,3
14485,10151018,house,house,549000,forsale,1831,xl,installed,,justrenovated,gas,169.0,3.0,303.0,,True,,True,,,,3.0,,0,Vlaams Brabant,3
