,id,type,average_price,province
11373,10152729,apartment,259500,Oost-Vlaanderen
11374,10152533,apartment,295000,Oost-Vlaanderen
11375,10163831,house,345000,Oost-Vlaanderen
11376,10046455,apartment,299000,Oost-Vlaanderen
11377,10152845,apartment,285000,Oost-Vlaanderen
11378,10164694,house,890000,Oost-Vlaanderen
11379,10138371,apartment,185000,Oost-Vlaanderen
11380,10138456,apartment,225000,Oost-Vlaanderen
11381,10138534,apartment,310000,Oost-Vlaanderen
11382,10139839,apartment,250000,Oost-Vlaanderen
11383,10138384,apartment group,221500.0,Oost-Vlaanderen
11384,10139639,apartment group,562800.0,Oost-Vlaanderen
11385,10138497,house,359000,Oost-Vlaanderen
11386,10140213,apartment,390000,Oost-Vlaanderen
11387,10138601,apartment group,685000.0,Oost-Vlaanderen
11388,10138446,house group,395000.0,Oost-Vlaanderen
11389,9926178,house,529000,Oost-Vlaanderen
11390,10138633,apartment,595000,Oost-Vlaanderen
11391,10138311,house,1000000,Oost-Vlaanderen
11392,10138619,house group,575000.0,Oost-Vlaanderen
11393,10138535,apartment,745000,Oost-Vlaanderen
11394,10144273,apartment,260000,Oost-Vlaanderen
11395,10084879,house,325000,Oost-Vlaanderen
11396,10138584,apartment group,5250000.0,Oost-Vlaanderen
11397,10158331,apartment,360000,Oost-Vlaanderen
11398,10146505,house,295000,Oost-Vlaanderen
11399,10084878,house,325000,Oost-Vlaanderen
11400,10084880,house,339000,Oost-Vlaanderen
11401,10084877,house,345000,Oost-Vlaanderen
11403,10146510,house,695000,Brussel
11404,10146786,house,479000,Brussel
11405,10149061,house,339000,Brussel
11406,10150473,house,219000,Brussel
11407,10151135,house,549000,Brussel
11408,10088030,apartment,210000,Brussel
11409,9091312,apartment,245000,Brussel
11410,10148715,house,849000,Brussel
11411,10163690,apartment,437000,Brussel
11412,9289482,apartment,259000,Brussel
11413,10109928,apartment,265000,Brussel
11414,10092687,apartment,244000,Brussel
11415,10126217,apartment,269000,Brussel
11416,10107510,apartment,325000,Brussel
11417,9481679,apartment,299000,Brussel
11418,10067351,apartment,295000,Brussel
11419,10126219,apartment,299000,Brussel
11420,10156985,house,325000,Brussel
11421,10090813,apartment,328500,Brussel
11422,10156345,house,349000,Brussel
11423,10008399,apartment,375000,Brussel
11424,10109927,apartment,358000,Brussel
11425,10098821,apartment,379000,Brussel
11426,10126205,apartment,375000,Brussel
11427,10126204,apartment,385000,Brussel
11428,9890718,apartment,395000,Brussel
11429,10107226,apartment,394000,Brussel
11430,9978881,apartment,450000,Brussel
11431,10126213,apartment,445000,Brussel
11432,9960703,apartment,430000,Brussel
11434,9910182,apartment,515000,Oost-Vlaanderen
11435,10062944,apartment,450000,Oost-Vlaanderen
11436,10125915,apartment,495000,Oost-Vlaanderen
11437,10132395,apartment,520000,Oost-Vlaanderen
11438,9908113,apartment,525000,Oost-Vlaanderen
11439,10109929,apartment,482000,Oost-Vlaanderen
11440,9908132,apartment,560000,Oost-Vlaanderen
11441,9910183,apartment,540000,Oost-Vlaanderen
11442,10098822,apartment,559000,Oost-Vlaanderen
11443,9853080,apartment,650000,Oost-Vlaanderen
11444,9988601,apartment,570000,Oost-Vlaanderen
11445,9646602,apartment,575000,Oost-Vlaanderen
11446,10154584,house,720000,Oost-Vlaanderen
11447,10090349,apartment,690000,Oost-Vlaanderen
11448,10109932,apartment,745000,Oost-Vlaanderen
11449,10117637,apartment,699000,Oost-Vlaanderen
11450,10057446,apartment,890000,Oost-Vlaanderen
11451,10107513,apartment,720000,Oost-Vlaanderen
11452,9624173,apartment,965000,Oost-Vlaanderen
11453,8894072,apartment,1350000,Oost-Vlaanderen
11454,10008422,apartment,1350000,Oost-Vlaanderen
11455,9963859,apartment,1150000,Oost-Vlaanderen
11456,10161097,house,275000,Oost-Vlaanderen
11457,10154634,house,2890000,Oost-Vlaanderen
11458,10160737,house,289000,Oost-Vlaanderen
11459,10160147,house,295000,Oost-Vlaanderen
11460,10160959,house,625000,Oost-Vlaanderen
11461,10160604,house,320000,Oost-Vlaanderen
11462,10160887,house,350000,Oost-Vlaanderen
11463,10160154,house,349000,Oost-Vlaanderen
11465,10164045,apartment,650000,Brussel
11466,10161036,house,1350000,Brussel
11467,10164032,apartment,159000,Brussel
11468,10163841,apartment,435000,Brussel
11469,10136677,apartment group,242000.0,Brussel
11470,10150924,apartment,237500,Brussel
11471,10137594,apartment,195000,Brussel
11472,10137196,apartment,169000,Brussel
11473,10137075,apartment,89000,Brussel
11474,10137324,apartment group,292250.0,Brussel
11475,10079372,apartment group,405000.0,Brussel
11476,10137385,apartment,275000,Brussel
11477,10137418,apartment group,295500.0,Brussel
11478,10137093,apartment group,438637.5,Brussel
11479,10136323,house,379000,Brussel
11480,10138074,apartment,315000,Brussel
11481,10136367,apartment,645000,Brussel
11482,10135978,house,419500,Brussel
11483,10138007,house group,340980.0,Brussel
11484,10135994,house,990000,Brussel
