id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10147029,apartment,duplex,749500,for sale,hyper equipped,gas,2,,true,,,,Luik
9955479,house,house,239000,for sale,semi equipped,electric,3,503,true,250,,,Luik
10147031,apartment,apartment,1495000,for sale,hyper equipped,gas,3,,true,,,,Luik
10160268,house,house,335000,for sale,usa semi equipped,fueloil,4,2215,,,,,Luik
10160134,house,house,450000,for sale,hyper equipped,gas,3,122,true,64,,,Luik
10160090,house,exceptional property,545000,for sale,not installed,fueloil,8,2200,true,,,,Luik
10094760,house,villa,475000,for sale,semi equipped,fueloil,5,1883,true,1748,,,Luik
10086590,house,country cottage,550000,for sale,usa installed,gas,4,840,true,840,,,Luik
10160203,house,house,695000,for sale,usa installed,gas,3,254,true,123,,,Luik
10160097,house,house,650000,for sale,usa installed,gas,3,104,true,,,,Luik
10160112,house,house,735000,for sale,usa hyper equipped,gas,3,188,true,47,,,Luik
10160317,apartment,apartment,215000,for sale,hyper equipped,gas,1,,true,,,,Luik
10159220,apartment,apartment,209000,for sale,not installed,gas,2,,true,,,,Luik
10160366,apartment,apartment,275000,for sale,not installed,gas,2,,true,85,,,Luik
10160095,apartment,flat studio,220000,for sale,usa hyper equipped,gas,0,,true,,,,Luik
10157959,apartment,duplex,385000,for sale,usa hyper equipped,gas,3,,true,,,,Luik
10157469,apartment,apartment,279000,for sale,hyper equipped,gas,2,,true,,,,Luik
10160847,apartment,apartment,595000,for sale,hyper equipped,gas,3,,true,,,,Luik
10157726,apartment,duplex,2990000,for sale,hyper equipped,gas,3,,true,,,,Luik
10160848,apartment,apartment,595000,for sale,hyper equipped,gas,3,,true,,,,Luik
10147032,house,house,159000,for sale,semi equipped,fueloil,2,335,true,171,,,Luik
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10146903,house,house,345000,for sale,usa installed,gas,4,49,,,,,Brussel
10070415,apartment,apartment,315000,for sale,installed,gas,2,,true,,,,Brussel
10146601,apartment,apartment,249000,for sale,usa installed,gas,3,,true,7000,,,Brussel
10146530,apartment,penthouse,297000,for sale,installed,gas,1,,true,,,,Brussel
10147870,house group,house group,234000 - 424900,for sale,,,,,,,,1,Brussel
10148322,apartment group,apartment group,182000 - 390000,for sale,,,,,,,,1,Brussel
10147596,apartment,apartment,370000,for sale,installed,fueloil,2,,,,,,Brussel
10158745,house,house,349000,for sale,installed,gas,2,340,true,250,,,Brussel
10146862,house,villa,895000,for sale,installed,fueloil,3,300,true,200,,,Brussel
10146909,apartment group,apartment group,415000 - 790000,for sale,,,,,,,,1,Brussel
10146939,house,villa,750000,for sale,hyper equipped,gas,4,1045,true,,true,,Brussel
10158889,house,house,300000,for sale,installed,gas,3,154,true,,,,Brussel
10157174,house,house,452000,for sale,installed,gas,4,686,,,,,Brussel
10159619,house,house,535000,for sale,hyper equipped,gas,3,452,true,250,,,Brussel
10158111,house,house,495000,for sale,usa installed,gas,3,97,true,,,,Brussel
10159324,house,house,595000,for sale,hyper equipped,gas,3,564,true,,true,,Brussel
10159343,house,other property,645000,for sale,installed,fueloil,4,2901,true,,,,Brussel
10157542,house,house,675000,for sale,semi equipped,gas,4,243,,100,,,Brussel
10158359,house,house,750000,for sale,,gas,6,282,true,110,,,Brussel
10159340,house,villa,645000,for sale,installed,fueloil,4,2901,true,,,,Brussel
10158304,house,villa,649000,for sale,installed,fueloil,4,853,true,853,,,Brussel
10157751,house,house,770000,for sale,installed,gas,4,735,true,,,,Brussel
9919729,house,villa,790000,for sale,hyper equipped,gas,5,566,true,256,,,Brussel
10157561,house,exceptional property,1950000,for sale,usa hyper equipped,gas,5,4000,true,,true,,Brussel
10156456,apartment,flat studio,169000,for sale,installed,electric,0,,,,,,Brussel
10106547,apartment,apartment,197000,for sale,installed,gas,1,,,,,,Brussel
10160245,apartment,apartment,365000,for sale,hyper equipped,gas,2,,true,,,1,Brussel
10157564,apartment,apartment,375000,for sale,usa hyper equipped,gas,2,,true,,,,Brussel
10154423,apartment,apartment,365000,for sale,,gas,2,,true,,,,Brussel
10158639,apartment,apartment,424000,for sale,installed,fueloil,2,,,,,,Brussel
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10156265,apartment,apartment,715000,for sale,usa hyper equipped,gas,2,,,,,,Brussel
10146727,house,house,269000,for sale,installed,gas,2,54,,14,,,Brussel
10146795,apartment,apartment,215000,for sale,semi equipped,gas,2,,,,,,Brussel
10160391,apartment,apartment,239000,for sale,installed,,2,,true,,,,Brussel
10145402,apartment group,apartment group,160900 - 499900,for sale,,,,,,,,1,Brussel
10155619,apartment,penthouse,950000,for sale,usa hyper equipped,electric,2,,true,,,,Brussel
10146116,house group,house group,325000 - 399000,for sale,,,,,,,,1,Brussel
9982690,house,house,400000,for sale,installed,gas,2,412,true,300,,,Brussel
10145673,apartment,apartment,549000,for sale,installed,gas,3,,true,,,,Brussel
10146748,house,exceptional property,479000,for sale,semi equipped,gas,3,1082,true,8002,,,Brussel
10146526,house,house,525000,for sale,installed,gas,4,357,true,300,,,Brussel
9935270,house,villa,570000,for sale,hyper equipped,fueloil,4,1000,true,1000,,,Brussel
10154573,house,house,219000,for sale,installed,fueloil,3,249,,100,,,Brussel
10154574,house,mixed use building,219000,for sale,installed,fueloil,3,249,,100,,,Brussel
10154806,house,house,245000,for sale,installed,gas,3,176,true,40,,,Brussel
10156155,house,house,305000,for sale,installed,fueloil,4,686,,,,,Brussel
10156767,house,house,325000,for sale,installed,gas,4,185,true,,,,Brussel
10156897,house,villa,599000,for sale,hyper equipped,gas,5,580,true,580,,,Brussel
10156593,house,house,1800000,for sale,,fueloil,9,1050,true,715,,,Brussel
10160576,house,house,575000,for sale,installed,fueloil,5,555,true,200,,,Brussel
10159969,house,house,299000,for sale,installed,,2,295,true,150,,,Brussel
10156318,apartment,apartment,260000,for sale,semi equipped,gas,1,,true,,,,Brussel
10151419,apartment,apartment,340000,for sale,installed,gas,3,,,,,,Brussel
