id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location,region,province,EPC
10160247,apartment group,apartment group,230000 - 390000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10160989,house group,house group,279000 - 279000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10160328,apartment group,apartment group,257000 - 319000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location,region,province,EPC
10139890,house,house,299000,for sale,installed,gas,3,170,,90,,,Brussel,['Brussel'],['Brussel'],[None]
10160701,house,villa,465000,for sale,installed,electric,4,1072,true,800,,,Brussel,['Brussel'],['Brussel'],[None]
10160911,house,house,289000,for sale,installed,gas,3,197,true,60,,,Brussel,['Brussel'],['Brussel'],[None]
10160155,house,house,345000,for sale,hyper equipped,gas,5,705,true,500,,,Brussel,['Brussel'],['Brussel'],[None]
10160295,house,bungalow,435000,for sale,semi equipped,gas,3,648,true,468,,,Brussel,['Brussel'],['Brussel'],[None]
10160111,apartment,apartment,460000,for sale,installed,fueloil,3,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10160433,house,house,499000,for sale,usa hyper equipped,gas,3,475,true,383,,,Brussel,['Brussel'],['Brussel'],[None]
10156372,apartment,apartment,395000,for sale,usa hyper equipped,gas,3,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10160577,house,house,585000,for sale,usa semi equipped,gas,2,634,true,400,,,Brussel,['Brussel'],['Brussel'],[None]
10159843,house,villa,520000,for sale,installed,gas,3,5062,,,,,Brussel,['Brussel'],['Brussel'],[None]
10159845,house,house,520000,for sale,installed,gas,3,5062,,,,,Brussel,['Brussel'],['Brussel'],[None]
10159844,house,villa,520000,for sale,installed,gas,3,5062,,,,,Brussel,['Brussel'],['Brussel'],[None]
10154468,apartment,penthouse,780000,for sale,hyper equipped,gas,3,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
